목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
귀빈식당,127.01976664844,36.556356949543,공주시,사곡면,생활편의,음식점,한식,1,21
귀빈식당,127.01976664844,36.556356949543,공주시,사곡면,생활편의,음식점,한식,2,9
귀연당,127.1532642,36.5547769,공주시,의당면,생활편의,음식점,한식,0,6
귀연당,127.1532642,36.5547769,공주시,의당면,생활편의,음식점,한식,1,6
그때그때카페,127.107509716524,36.456535519405,공주시,웅진동,생활편의,카페,카페기타,1,10
그때그때카페,127.107509716524,36.456535519405,공주시,웅진동,생활편의,카페,카페기타,2,3
그랜드재활요양원,126.9540685626605,36.55098041285872,공주시,유구읍,의료편의,기타의료시설,요양원,0,3
그루잠/공주점,127.254997069678,36.4036257470474,공주시,반포면,생활편의,카페,카페기타,0,14
그루잠/공주점,127.254997069678,36.4036257470474,공주시,반포면,생활편의,카페,카페기타,1,3
그리드,127.255608267163,36.388016417661,공주시,반포면,생활편의,카페,카페기타,0,9
그리드,127.255608267163,36.388016417661,공주시,반포면,생활편의,카페,카페기타,1,14
그리심글램핑장,127.14778824171589,36.58915622788467,공주시,정안면,여행/레저,레저/스포츠,캠프장,0,4
그리심글램핑장,127.14778824171589,36.58915622788467,공주시,정안면,여행/레저,레저/스포츠,캠프장,2,5
그린파크,126.951356158169,36.547996400162,공주시,유구읍,여행/레저,숙박,모텔/여관,0,3
그린홈,127.142395337148,36.4747280917537,공주시,신관동,쇼핑,건축자재,인테리어,1,3
근영푸드,127.10867801028496,36.50727852012203,공주시,우성면,기업/단체,업종별기업,음식료업,0,3
금강6경(고마나루솔밭)/웅진지구1,127.103343334595,36.4662288339297,공주시,웅진동,여행/레저,관광명소,관광명소기타,1,3
금강기사식당,127.12370666434992,36.46120857817597,공주시,웅진동,생활편의,음식점,한식,1,3
금강사회복지관,127.134257408197,36.4483699395413,공주시,옥룡동,기업/단체,사회시설,사회복지시설,0,8
금강신관공원,127.131035302021,36.4675066270259,공주시,신관동,여행/레저,관광명소,공원,0,562
금강신관공원,127.131035302021,36.4675066270259,공주시,신관동,여행/레저,관광명소,공원,1,7130
금강신관공원,127.131035302021,36.4675066270259,공주시,신관동,여행/레저,관광명소,공원,2,193
금강신관공원/축구장,127.135896004456,36.4648125182224,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,0,3
금강신관공원/축구장,127.135896004456,36.4648125182224,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,1,6
금강신관공원야구장,127.134090600697,36.4658123936467,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,1,4
금강아트센터,127.20211886051408,36.42894986263316,공주시,반포면,생활편의,문화생활시설,화랑/전시관,0,9
금강아트센터,127.20211886051408,36.42894986263316,공주시,반포면,생활편의,문화생활시설,화랑/전시관,1,3
금강약국,127.13781242254,36.473533756799,공주시,신관동,의료편의,기타의료시설,약국,0,3
금강억새단지,127.04590969963698,36.41673732531675,공주시,우성면,여행/레저,관광명소,관광명소기타,0,3
금강억새단지,127.04590969963698,36.41673732531675,공주시,우성면,여행/레저,관광명소,관광명소기타,1,3
금강온천,127.1075652098133,36.462979229148,공주시,웅진동,여행/레저,관광명소,온천,0,79
금강온천,127.1075652098133,36.462979229148,공주시,웅진동,여행/레저,관광명소,온천,1,120
금강온천,127.1075652098133,36.462979229148,공주시,웅진동,여행/레저,관광명소,온천,2,20
금강온천모텔,127.107315229847,36.4632291991813,공주시,웅진동,여행/레저,숙박,모텔/여관,1,3
금강의아침펜션,127.07473861135696,36.4444467941877,공주시,금학동,여행/레저,숙박,펜션,0,3
금계캠핑장,126.983602486986,36.6375974539771,공주시,유구읍,여행/레저,여행/레저기타,여행/레저기타,0,29
금계캠핑장,126.983602486986,36.6375974539771,공주시,유구읍,여행/레저,여행/레저기타,여행/레저기타,1,35
금계캠핑장,126.983602486986,36.6375974539771,공주시,유구읍,여행/레저,여행/레저기타,여행/레저기타,2,13
금동산미술관,127.12336715294737,36.60821560517111,공주시,정안면,생활편의,문화생활시설,미술관,1,3
금성낙지,127.12174586122973,36.46659640199815,공주시,웅진동,생활편의,음식점,전문음식점,1,3
금성모텔,127.12155747390185,36.46228107005514,공주시,웅진동,여행/레저,숙박,모텔/여관,1,9
금성회관,127.131757447048,36.4689509109296,공주시,신관동,생활편의,음식점,한식,0,16
금성회관,127.131757447048,36.4689509109296,공주시,신관동,생활편의,음식점,한식,1,3
금성회관,127.131757447048,36.4689509109296,공주시,신관동,생활편의,음식점,한식,2,3
금정알밤농원,127.109508605946,36.5608291828172,공주시,정안면,건물/시설,농/어업,농장/농원,1,5
금학생태공원,127.12412030726978,36.43357365283556,공주시,금학동,여행/레저,관광명소,공원,0,11
금학생태공원,127.12412030726978,36.43357365283556,공주시,금학동,여행/레저,관광명소,공원,1,28
금학생태공원,127.12412030726978,36.43357365283556,공주시,금학동,여행/레저,관광명소,공원,2,8
기산1리소와리경로당,127.151645277493,36.3891267940954,공주시,계룡면,기업/단체,사회시설,사회복지시설,1,3
기산저수지,127.13364692614,36.3837106401688,공주시,계룡면,여행/레저,관광명소,저수지,1,4
기찬메밀국수,127.25638617649,36.3657134067042,공주시,반포면,생활편의,음식점,한식,0,22
기찬메밀국수,127.25638617649,36.3657134067042,공주시,반포면,생활편의,음식점,한식,1,16
길갈,127.1215646423542,36.45018337982842,공주시,중학동,생활편의,음식점,일식,0,43
길갈,127.1215646423542,36.45018337982842,공주시,중학동,생활편의,음식점,일식,1,10
길갈,127.1215646423542,36.45018337982842,공주시,중학동,생활편의,음식점,일식,2,9
김밥천국/신관터미널점,127.134423878798,36.468673180378,공주시,신관동,생활편의,음식점,분식,1,10
까우,127.13625702211,36.471672848894,공주시,신관동,생활편의,음식점,세계요리,0,47
까우,127.13625702211,36.471672848894,공주시,신관동,생활편의,음식점,세계요리,1,51
까우,127.13625702211,36.471672848894,공주시,신관동,생활편의,음식점,세계요리,2,11
꼭지네,127.129757605999,36.4710895442017,공주시,신관동,생활편의,술집,호프,0,3
꼭지네,127.129757605999,36.4710895442017,공주시,신관동,생활편의,술집,호프,2,4
꿈의교회,127.109842834233,36.4574243204599,공주시,웅진동,생활편의,종교,교회시설,0,16
꿈의교회,127.109842834233,36.4574243204599,공주시,웅진동,생활편의,종교,교회시설,1,13
꿈의교회,127.109842834233,36.4574243204599,공주시,웅진동,생활편의,종교,교회시설,2,5
나그네식당,127.12062247188284,36.44682637610661,공주시,중학동,생활편의,음식점,한식,0,5
나래원식당,127.044960231729,36.3995694325864,공주시,이인면,생활편의,음식점,한식,1,20
나사볼링센터/공주점,127.14919313923345,36.47639566629343,공주시,월송동,여행/레저,레저/스포츠,볼링장,0,3
나사볼링센터/공주점,127.14919313923345,36.47639566629343,공주시,월송동,여행/레저,레저/스포츠,볼링장,1,7
나사볼링센터/공주점,127.14919313923345,36.47639566629343,공주시,월송동,여행/레저,레저/스포츠,볼링장,2,3
나이키/공주점,127.124452659288,36.4557857033907,공주시,중학동,쇼핑,의류/직물,스포츠·캐주얼의류,2,5
나태주풀꽃문학관,127.11994671199244,36.453618506343645,공주시,중학동,생활편의,문화생활시설,문화생활시설기타,0,38
나태주풀꽃문학관,127.11994671199244,36.453618506343645,공주시,중학동,생활편의,문화생활시설,문화생활시설기타,1,59
