목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
월야성모텔,126.52775090134747,37.042715035863935,당진시,석문면,여행/레저,숙박,모텔/여관,10
웨이닝/당진점 [중식],126.645825001638,36.8842616984034,당진시,당진2동,생활편의,음식점,중식,12
웰빙보리쌈밥보쌈,126.78173652632648,36.94315754891072,당진시,송악읍,생활편의,음식점,한식,6
위너스호텔,126.646102612213,36.9005653826591,당진시,당진1동,여행/레저,숙박,모텔/여관,146
윈윈개발,126.698321003468,36.8026602502743,당진시,면천면,기업/단체,업종별기업,철강 금속,3
유곡교회,126.69051647193322,36.95678434229495,당진시,송산면,생활편의,종교,교회시설,15
유니아이소아청소년과의원,126.692987284031,36.9014544344783,당진시,송악읍,의료편의,의료시설,의원,41
유니클로/당진읍내점,126.63675578996828,36.89791768958767,당진시,당진1동,쇼핑,의류/직물,스포츠·캐주얼의류,210
유락모텔,126.627409915937,36.8925661964662,당진시,당진1동,여행/레저,숙박,모텔/여관,6
유명산부인과의원,126.633520416913,36.8996209758783,당진시,당진1동,의료편의,의료시설,의원,35
유신정밀공업/당진공장,126.679488798975,36.8668472214452,당진시,순성면,기업/단체,업종별기업,제조업,15
유심조,126.63218781194274,36.89515803667939,당진시,당진1동,생활편의,카페,카페기타,10
유진스틸,126.726984089332,36.917647212239,당진시,송악읍,기업/단체,업종별기업,제조업,10
유한약국,126.632742735354,36.8965935415397,당진시,당진1동,의료편의,기타의료시설,약국,4
유향사,126.660546170363,36.8535430866742,당진시,면천면,생활편의,종교,절,3
육대장/당진송악점,126.78309568324352,36.94055650381945,당진시,송악읍,생활편의,음식점,한식,11
육대장/당진유곡점,126.693708897656,36.9631140199664,당진시,송산면,생활편의,음식점,한식,16
윤가네뼈다귀감자탕,126.78347636562728,36.94326998814795,당진시,송악읍,생활편의,음식점,한식,3
으뜸50안경/당진점,126.629621,36.8933652,당진시,당진1동,쇼핑,가방/액세서리,안경,3
으뜸정육점,126.692959484083,36.904259667643,당진시,송악읍,쇼핑,음식료,정육점,3
으뜸한의원,126.692876160672,36.9039819212974,당진시,송악읍,의료편의,의료시설,한의원,9
은봉산장,126.55413925612388,36.82996186713578,당진시,정미면,생활편의,음식점,한식,35
음섬포구,126.801671761801,36.9253134267366,당진시,송악읍,여행/레저,관광명소,포구,21
읍천리382/당진점,126.63877621484068,36.89080578972244,당진시,당진1동,생활편의,카페,카페기타,3
의조산업,126.725901520635,36.8419059028629,당진시,순성면,기업/단체,업종별기업,건설업,14
이교야채순대,126.635964655199,36.898093387351,당진시,당진1동,생활편의,음식점,한식,3
이디야커피/당진기지시점,126.6949870783744,36.90442632666995,당진시,송악읍,생활편의,카페,커피전문점,3
이디야커피/당진석문산업단지점,126.5976782,37.0066688,당진시,석문면,생활편의,카페,커피전문점,67
이디야커피/당진유곡점,126.692125705824,36.9631973347018,당진시,송산면,생활편의,카페,커피전문점,48
이디야커피/당진점,126.647213759075,36.8850393946699,당진시,당진2동,생활편의,카페,커피전문점,6
이디야커피/당진터미널점,126.647019195366,36.9007042607582,당진시,당진1동,생활편의,카페,커피전문점,4
이디야커피/당진푸르지오점,126.629715202326,36.8997042782431,당진시,당진1동,생활편의,카페,커피전문점,3
이디야커피/충남당진신평점,126.755037447027,36.88151263333,당진시,신평면,생활편의,카페,커피전문점,9
이리족발/당진송악점,126.78327561015452,36.94317142592328,당진시,송악읍,생활편의,음식점,전문음식점,9
이마트24/당진장고항점,126.56035918689,37.0301888830617,당진시,석문면,쇼핑,대형유통점,편의점,46
이모네옷수선,126.63082233226282,36.8947418515809,당진시,당진1동,생활편의,생활서비스,생활서비스기타,3
이백장돈까스/당진유곡점,126.693403366847,36.963419538661,당진시,송산면,생활편의,음식점,전문음식점,10
이비가짬뽕/당진점 [중식],126.64812619231763,36.88426808557084,당진시,당진2동,생활편의,음식점,중식,28
이손치과병원,126.630492955272,36.8945382094616,당진시,당진1동,의료편의,의료시설,의원,32
이송포도원,126.533724378873,36.834988954811,당진시,정미면,건물/시설,농/어업,과수원,3
이안과의원,126.629493045297,36.894510429256,당진시,당진1동,의료편의,의료시설,의원,3
이엔엠,126.551304513345,37.0224952732816,당진시,석문면,기업/단체,업종별기업,전기전자,3
이엔워터솔루션,126.70916124956436,36.973496181466,당진시,송산면,기업/단체,업종별기업,업종별기업기타,3
이장님밥상,126.692764605833,36.955448229084,당진시,송산면,생활편의,음식점,한식,20
이종구항아리짬뽕/[중식],126.643991780078,36.890316548139,당진시,당진1동,생활편의,음식점,중식,3
이츠펫,126.636742381307,36.896010297707,당진시,당진1동,쇼핑,취미/오락,애완/관상,4
이클린워터,126.707457568391,36.973723989834,당진시,송산면,기업/단체,업종별기업,업종별기업기타,3
이화곱창/문예의전당점,126.63682439111852,36.89079335177365,당진시,당진1동,생활편의,음식점,전문음식점,27
이화수전통육개장/당진송산점,126.69812119147804,36.96110271541134,당진시,송산면,생활편의,음식점,한식,7
이화수전통육개장/당진시곡점,126.683543674177,36.902954208668,당진시,당진3동,생활편의,음식점,한식,3
이화원/[중식],126.76908056391903,36.88313926394408,당진시,신평면,생활편의,음식점,중식,165
인광산업,126.586691383405,36.8887330754708,당진시,정미면,기업/단체,업종별기업,비금속 광물,16
인디고PC방/당진송악점,126.69065404448996,36.90338025184187,당진시,송악읍,생활편의,생활서비스,PC방,75
