목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
공주숲클라이밍짐,127.1400066413,36.476922271945,공주시,신관동,여행/레저,레저/스포츠,레저/스포츠기타,3
공주시 산성시장 공영주차장,127.122730563389,36.458813125848,공주시,산성동,교통편의,자동차시설,주차장,107
공주시 신관동 공원주차장,127.135895934456,36.4726449581173,공주시,신관동,교통편의,자동차시설,주차장,16
공주시가족센터,127.13276012609504,36.45328430280421,공주시,옥룡동,기업/단체,사회시설,사회시설기타,16
공주시공동육아나눔터/3호점,126.953161503564,36.5535791059317,공주시,유구읍,기업/단체,사회시설,사회복지시설,3
공주시농업기술센터,127.098232433029,36.493808990674,공주시,우성면,기업/단체,각종단체,센터,329
공주시농업기술센터/농업회관,127.097538047716,36.4941145073266,공주시,우성면,기업/단체,각종단체,센터,19
공주시농업전시관,127.09892562411898,36.493361576382085,공주시,우성면,생활편의,문화생활시설,전시장,12
공주시니어클럽,127.12817440593872,36.47195054786621,공주시,신관동,기업/단체,사회시설,사회복지시설,3
공주시립박찬호야구장,127.1306829,36.4838295,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,134
공주시립웅진도서관,127.111120467117,36.4609239286936,공주시,웅진동,생활편의,문화생활시설,도서관,94
공주시립테니스장,127.1006211343983,36.49097599452484,공주시,신관동,여행/레저,레저/스포츠,테니스,105
공주시민운동장,127.10917619058864,36.46150718420101,공주시,웅진동,여행/레저,레저/스포츠,운동장/체육관,1194
공주시보건소,127.12070298170936,36.45706331363746,공주시,웅진동,의료편의,의료시설,보건소/지소,366
공주시시민재난안전센터,127.099037911137,36.4944478113432,공주시,신관동,생활편의,문화생활시설,문화생활시설기타,3
공주시장애인종합복지관,127.129674249069,36.4745613698812,공주시,신관동,기업/단체,사회시설,사회복지시설,6
공주시정신건강복지센터,127.123591584476,36.4603129597845,공주시,웅진동,기업/단체,사회시설,사회복지시설,9
공주시종합사회복지관,127.13611793925656,36.49472577354481,공주시,의당면,기업/단체,사회시설,사회복지시설,58
공주시청년센터,127.124508235143,36.4529526934953,공주시,중학동,기업/단체,각종단체,센터,3
공주시학교급식지원센터,127.027544700714,36.4468139445978,공주시,우성면,기업/단체,업종별기업,음식료업,9
공주실버랜드,127.144090273904,36.4026252119142,공주시,계룡면,기업/단체,사회시설,사회복지시설,3
공주쌍신집칼국수,127.1199634415898,36.48147015728446,공주시,월송동,생활편의,음식점,한식,853
공주알밤농원,127.159503987602,36.5786885478571,공주시,의당면,건물/시설,농/어업,농장/농원,100
공주알밤빵/본점,127.12183775857352,36.463673138629815,공주시,웅진동,생활편의,음식점,제과점,3
공주알밤센터,127.123008288461,36.461951658363,공주시,웅진동,쇼핑,음식료,음식료기타,44
공주에덴노인병원,127.127063362247,36.4754779167683,공주시,신관동,의료편의,의료시설,일반병원,28
공주에서,127.138006808179,36.478172117687,공주시,월송동,생활편의,음식점,전문음식점,16
공주예비군훈련장,127.135479208987,36.4833659548329,공주시,월송동,공공편의,교육기관,군교육기관,72
공주요양병원,126.92849733882952,36.51916623002759,공주시,신풍면,의료편의,의료시설,요양병원,15
공주원로원,127.145756058961,36.4847825199269,공주시,월송동,기업/단체,사회시설,사회복지시설,136
공주원예영농조합육묘장,127.115202542017,36.5609125399595,공주시,정안면,건물/시설,농/어업,농/어업기타,3
공주유스호스텔,127.04687730737774,36.33327144346924,공주시,탄천면,여행/레저,숙박,유스호스텔,15
공주의료원,127.10948174217307,36.458896372675206,공주시,웅진동,의료편의,의료시설,종합병원,1276
공주의료원/응급실,127.10931508663712,36.45931299085176,공주시,웅진동,의료편의,의료시설,응급실,13
공주잉크관광호텔,127.13011473270711,36.469784966205495,공주시,신관동,여행/레저,숙박,호텔,169
공주자연농원,127.120923874342,36.6030188745415,공주시,정안면,건물/시설,농/어업,농장/농원,3
공주제일교회,127.122786184027,36.4509529115566,공주시,중학동,생활편의,종교,교회시설,15
공주제일교회,127.134812886564,36.4514806991271,공주시,옥룡동,생활편의,종교,교회시설,4
공주중동성당,127.127452401413,36.4547580602745,공주시,중학동,여행/레저,관광명소,문화유적지,103
공주중앙감리교회,127.119147565367,36.4569799807646,공주시,웅진동,생활편의,종교,교회시설,13
공주중앙장로교회,127.151894530737,36.4703397589385,공주시,월송동,생활편의,종교,교회시설,76
공주철물,127.12320272872,36.4604796051805,공주시,웅진동,생활편의,생활서비스,철물점,7
공주청소년문화센터,127.12211954973633,36.45398034017486,공주시,중학동,생활편의,문화생활시설,문화센터,18
