is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
1,안산호수공원,126.825432545637,37.3004272659064,경기도 안산시,1.0,1,Sunday
1,안양종합운동장,126.946481112839,37.4053263112555,경기도 안양시,1.0,1,Saturday
1,안젤라분식,126.71089986531548,35.98896437660198,전라북도 군산시,1.0,1,Sunday
1,안흥항,126.153095342458,36.6791053864968,nan nan,1.0,1,Sunday
1,알바노,127.178893878967,36.1697586678031,충청남도 논산시,1.0,2,Sunday
1,암수리마을회관,126.870955141417,36.1221090508525,양화면,1.0,0,Sunday
1,앗빙수,127.25027797816,36.4857797122588,세종특별자치시,1.0,0,Sunday
1,앳267,126.91077782986925,36.27236121796719,부여읍,15.0,0,Sunday
1,야미도선착장,126.4890945173668,35.84084042565436,전라북도 군산시,2.0,0,Sunday
1,얌샘김밥 아산순천향대점,126.93276278767377,36.77353056058399,충청남도 아산시,1.0,1,Sunday
1,양만타조개나라,126.91104445314568,36.28387330817918,부여읍,4.0,1,Saturday
1,양촌자연휴양림,127.248159241146,36.1574940883487,충청남도 논산시,1.0,1,Sunday
1,양평해장국,126.909084496762,36.2759994120023,부여읍,2.0,1,Saturday
1,어가/본점,127.056585778939,37.3321723790571,경기도 용인시,1.0,1,Sunday
1,어가/직영2호점,127.050692244144,37.3338077200282,경기도 용인시,1.0,0,Sunday
1,어가명가/왕촌점,127.164778969001,36.4490564620025,충청남도 공주시,3.0,0,Sunday
1,어가아구찜,127.031748965421,37.7614139326014,경기도 의정부시,1.0,1,Sunday
1,어드레스&붐도넛,127.160149246691,36.1776365182596,충청남도 논산시,1.0,1,Sunday
1,어렝이옻닭,126.63963234057,36.110389417901,충청남도 서천군,1.0,1,Sunday
1,어반푸드오피스,126.757204758157,37.5059158500859,경기도 부천시,1.0,1,Sunday
1,어시장활어회직거래판매장,126.71354996299016,35.95681288951198,전라북도 군산시,1.0,1,Saturday
1,억새정원,126.9043667119958,36.26497657066293,부여읍,3.0,1,Saturday
1,엄가네곰탕,126.91016766101828,36.28455399924709,부여읍,17.0,1,Sunday
1,에이본호텔/군산,126.72445832837236,35.97634657401918,전라북도 군산시,2.0,1,Sunday
1,에이치모텔,128.161713629267,35.5700010227244,경상남도 합천군,3.0,1,Saturday
1,에펠제과,126.9107881,36.2807594,부여읍,11.0,1,Saturday
1,엑스포코아,127.405871299449,36.4001057653811,대전광역시 유성구,2.0,0,Saturday
1,엔터식스/안양역점,126.9225502230246,37.40169095432366,경기도 안양시,1.0,0,Sunday
1,엘리제,126.91186199261,36.2801100704214,부여읍,4.0,1,Saturday
1,엘림아트센터,126.636882043801,37.5320353467506,인천광역시 서구,1.0,1,Saturday
1,여러분덕,126.829556045234,37.3584128267208,경기도 안산시,1.0,1,Saturday
1,여사교회,126.835495545034,36.1127109944075,충청남도 서천군,1.0,1,Sunday
1,여호와의증인의왕국회관,126.910723258121,36.2738607758201,부여읍,1.0,0,Saturday
