목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
사랑채황토오리진흙구이,126.721520093111,36.001196312621,서천군,장항읍,생활편의,음식점,전문음식점,5
산너울야구장,126.721269950415,36.0216662082344,서천군,마서면,여행/레저,레저/스포츠,운동장/체육관,12
산막골성지,126.709825397162,36.160289272945,서천군,판교면,생활편의,종교,종교기타,3
삼성식당,126.688244032059,36.1541509669269,서천군,판교면,생활편의,음식점,한식,3
삼층바다,126.52384907492944,36.16386284168257,서천군,서면,생활편의,카페,카페기타,3
새한수산,126.668552319549,36.0324147072365,서천군,장항읍,건물/시설,농/어업,농/어업기타,6
샵모텔,126.726380762404,36.0025295203697,서천군,장항읍,여행/레저,숙박,모텔/여관,25
서광공구,126.686522589848,36.0767708714501,서천군,서천읍,쇼핑,쇼핑기타,쇼핑기타,3
서도마트,126.521564412956,36.1537056915115,서천군,서면,쇼핑,슈퍼/마트,슈퍼/마트 기타,3
서도하이빌펜션,126.527647123632,36.1639545560978,서천군,서면,여행/레저,숙박,펜션,3
서산회관,126.5061092,36.1472918,서천군,서면,생활편의,음식점,한식,15
서울시서천연수원,126.55733764508204,36.13304411361045,서천군,서면,공공편의,교육기관,연수원,550
서천계량소,126.686383724719,36.0753543651046,서천군,서천읍,기업/단체,업종별기업,업종별기업기타,3
서천국민여가캠핑장,126.73851882724892,36.018588480455065,서천군,마서면,여행/레저,레저/스포츠,캠프장,89
서천국민체육센터,126.664719110393,36.059356069042,서천군,마서면,여행/레저,레저/스포츠,종합스포츠센타,33
서천군기벌포영화관,126.694105762871,36.0130559310739,서천군,장항읍,생활편의,문화생활시설,극장,28
서천군민체육관,126.68546761296,36.0164721638658,서천군,장항읍,여행/레저,레저/스포츠,운동장/체육관,4
서천군보건소,126.68973736542546,36.08238335143099,서천군,서천읍,의료편의,의료시설,보건소/지소,12
서천군조류생태전시관,126.74268470844,36.0227773072845,서천군,마서면,생활편의,문화생활시설,화랑/전시관,3
서천군청소년수련관,126.665858192024,36.0226935754982,서천군,장항읍,여행/레저,레저/스포츠,수련장,88
